COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
107008,gamma-carboxyglutamate,Amino Acid,Glutamate Metabolism,POSa,HMDB0041900,,,,,
107009,glutamate,Amino Acid,Glutamate Metabolism,POSa,HMDB0000148,,33032.0,56-86-0,C00025,
107010,"glutamate, gamma-methyl ester",Amino Acid,Glutamate Metabolism,POSa,HMDB0061715,,68662.0,1499-55-4,,61916.0
107011,glutamine,Amino Acid,Glutamate Metabolism,POSa,HMDB0000641,,5961.0,56-85-9,C00064,5746.0
107012,N-acetyl-aspartyl-glutamate (NAAG),Amino Acid,Glutamate Metabolism,POSa,HMDB0001067,,188803.0,3106-85-2,C12270,164080.0
107014,N-acetylglutamine,Amino Acid,Glutamate Metabolism,POSa,HMDB0006029,,182230.0,2490-97-3,,158492.0
107017,pyroglutamine*,Partially Characterized Molecules,Partially Characterized Molecules,POSa,HMDB0062558,,11984188.0,29883-25-8,,
108001,2-aminobutyrate,Amino Acid,Glutathione Metabolism,POSa,HMDB0245013,"HMDB0245013,HMDB0000452(L-alpha-Aminobutyric acid),HMDB0000650(D-alpha-Aminobutyric acid)",,,,
108009,cysteine-glutathione disulfide,Amino Acid,Glutathione Metabolism,POSa,HMDB0000656,,53477713.0,13081-14-6,,35013023.0
108010,cysteinylglycine,Amino Acid,Glutathione Metabolism,POSa,HMDB0000078,,439498.0,19246-18-5,C01419,388596.0
108011,cysteinylglycine disulfide*,Amino Acid,Glutathione Metabolism,POSa,HMDB0000709,,22833544.0,70555-24-7,,17215992.0
108012-1,"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism,POSa,,,,,,
108013,"glutathione, reduced (GSH)",Amino Acid,Glutathione Metabolism,POSa,HMDB0000125,,124886.0,70-18-8,C00051,111188.0
108014,ophthalmate,Amino Acid,Glutathione Metabolism,POSa,HMDB0005765,,7018721.0,495-27-2,,5381695.0
109004,betaine,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0000043,,248.0,6915-17-9,,243.0
