Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Cord,sample-25,PC1,20.79845469925479,high,19,902025,1.19439152904471,2.11857996333283,high,0.06271568645345056,positive,0.13286819670694455,0.13286819670694455
Cord,sample-25,PC1,20.79845469925479,high,20,676008,0.796139840825443,-2.6122670605304443,low,-0.05068936621614793,negative,0.13241416168560796,0.13241416168560796
Cord,sample-25,PC2,-23.96759575451688,low,1,107014,0.916920119261101,-3.169999575413306,low,0.07844336161551828,positive,-0.24866542301518538,0.24866542301518538
Cord,sample-25,PC2,-23.96759575451688,low,2,203004,0.953775382580733,-3.036688297203977,low,0.07730758006354803,positive,-0.23475902366413576,0.23475902366413576
Cord,sample-25,PC2,-23.96759575451688,low,3,301010,0.887276732641057,-3.2490116249214656,low,0.07128012966683908,positive,-0.2315899699134696,0.2315899699134696
Cord,sample-25,PC2,-23.96759575451688,low,4,645001,0.926440331901884,-2.932409329038356,low,0.07745000503711458,positive,-0.22711511730490244,0.22711511730490244
Cord,sample-25,PC2,-23.96759575451688,low,5,1116139,1.19806088663978,3.5017493590223845,high,-0.06311353948714482,negative,-0.22100779644474333,0.22100779644474333
Cord,sample-25,PC2,-23.96759575451688,low,6,402007,0.939047112988375,-3.228058471337217,low,0.06831244526239878,positive,-0.22051656762704633,0.22051656762704633
Cord,sample-25,PC2,-23.96759575451688,low,7,402012,0.913691077069682,-2.5453747094449763,low,0.08492632378249314,positive,-0.21616931672209347,0.21616931672209347
Cord,sample-25,PC2,-23.96759575451688,low,8,621001,0.924814337911255,-2.806170891196655,low,0.07693925666458998,positive,-0.21590470244248064,0.21590470244248064
Cord,sample-25,PC2,-23.96759575451688,low,9,107013,0.918717692172344,-2.5087461107185773,low,0.08496022452547124,positive,-0.21314363284405305,0.21314363284405305
Cord,sample-25,PC2,-23.96759575451688,low,10,1103076,0.815727124310193,-3.1891392420342606,low,0.06371086776360571,positive,-0.20318282852897052,0.20318282852897052
Cord,sample-25,PC2,-23.96759575451688,low,11,112026,0.844099147074201,-3.289702205213342,low,0.060613870181128446,positive,-0.19940158240137348,0.19940158240137348
Cord,sample-25,PC2,-23.96759575451688,low,12,112038,0.931172971710558,-2.679919789619582,low,0.07193917712519456,positive,-0.19279122442675725,0.19279122442675725
Cord,sample-25,PC2,-23.96759575451688,low,13,112039,0.948964021559523,-2.5655337680716617,low,0.07459855979188681,positive,-0.19138512419559853,0.19138512419559853
Cord,sample-25,PC2,-23.96759575451688,low,14,109014,1.13356812341644,3.0469551940491453,high,-0.0626029185714857,negative,-0.19074828790402404,0.19074828790402404
Cord,sample-25,PC2,-23.96759575451688,low,15,402011,0.886917102573619,-2.3070932339037196,low,0.07969908714629657,positive,-0.18387322470352374,0.18387322470352374
Cord,sample-25,PC2,-23.96759575451688,low,16,109001,1.05459168037841,3.163283350312343,high,-0.05763672740886408,negative,-0.18232130017895082,0.18232130017895082
Cord,sample-25,PC2,-23.96759575451688,low,17,101004,0.963460057274217,-3.0826554847373884,low,0.058357975049611044,positive,-0.17989753186485116,0.17989753186485116
Cord,sample-25,PC2,-23.96759575451688,low,18,622006,0.932670761767408,-2.8655972236929386,low,0.06227629626340655,positive,-0.17845878167429674,0.17845878167429674
Cord,sample-25,PC2,-23.96759575451688,low,19,402003,0.932025434045011,-2.388347946450544,low,0.07329647693208687,positive,-0.17505749016280936,0.17505749016280936
Cord,sample-25,PC2,-23.96759575451688,low,20,101006,0.968487090859695,-2.5583575447481044,low,0.06514632882611592,positive,-0.16666760186493457,0.16666760186493457
Cord,sample-29,PC1,24.054353599919462,high,1,607001,1.13909777457707,4.337074561264087,high,0.0459691467616622,positive,0.19937161702302053,0.19937161702302053
Cord,sample-29,PC1,24.054353599919462,high,2,642004,0.845570346565346,-4.175254956557407,low,-0.046747816743523934,negative,0.19518405356663565,0.19518405356663565
Cord,sample-29,PC1,24.054353599919462,high,3,650001,1.18820669869875,4.0444824325638535,high,0.047988162601817604,positive,0.194087280614069,0.194087280614069
Cord,sample-29,PC1,24.054353599919462,high,4,651008,1.22956226058696,3.2024514362288614,high,0.059920844070714484,positive,0.19189359315430526,0.19189359315430526
Cord,sample-29,PC1,24.054353599919462,high,5,651012,1.21159051030735,3.461561374049394,high,0.05488807938875608,positive,0.18999845550787473,0.18999845550787473
Cord,sample-29,PC1,24.054353599919462,high,6,613002,0.86295216696763,-3.7114486335446872,low,-0.05109360144914305,negative,0.18963127728129883,0.18963127728129883
Cord,sample-29,PC1,24.054353599919462,high,7,659012,0.758991753905946,-3.140475682816028,low,-0.06019259126234043,negative,0.18903336914506466,0.18903336914506466
Cord,sample-29,PC1,24.054353599919462,high,8,601007,0.841237667980671,-3.3504741034511265,low,-0.05639550523750593,negative,0.188951679849306,0.188951679849306
Cord,sample-29,PC1,24.054353599919462,high,9,111010,0.753722959024613,-4.600902622000644,low,-0.040773685438573404,negative,0.18759575624296188,0.18759575624296188
Cord,sample-29,PC1,24.054353599919462,high,10,655009,0.629097809852048,-4.410120810634355,low,-0.04133423807936552,negative,0.18228898354552492,0.18228898354552492
Cord,sample-29,PC1,24.054353599919462,high,11,607027,1.11630372587767,3.629358448731588,high,0.049869926259057826,positive,0.18099583820593282,0.18099583820593282
Cord,sample-29,PC1,24.054353599919462,high,12,659005,0.808522490090332,-3.161329065570783,low,-0.05714455760519495,negative,0.18065275089648672,0.18065275089648672
Cord,sample-29,PC1,24.054353599919462,high,13,659002,0.741052874616421,-3.2245471265867702,low,-0.05581586976718767,negative,0.17998090247572637,0.17998090247572637
Cord,sample-29,PC1,24.054353599919462,high,14,653010,1.23680971767508,3.783457652130278,high,0.04662713939287411,positive,0.1764118073329147,0.1764118073329147
Cord,sample-29,PC1,24.054353599919462,high,15,111025,1.26877746511494,4.236250956912905,high,0.041520428617797644,positive,0.17589095546357925,0.17589095546357925
Cord,sample-29,PC1,24.054353599919462,high,16,672041,0.875943041178878,-3.7256858640898938,low,-0.04666504100124604,negative,0.1738592836055177,0.1738592836055177
Cord,sample-29,PC1,24.054353599919462,high,17,651017,1.18965589685051,3.3073709214605524,high,0.050918168476664076,positive,0.16840526979374812,0.16840526979374812
Cord,sample-29,PC1,24.054353599919462,high,18,117034,0.959472279145676,-3.0504782523598,low,-0.054528577786058956,negative,0.16633824066848255,0.16633824066848255
Cord,sample-29,PC1,24.054353599919462,high,19,653008,1.17153727616159,3.4256040037815585,high,0.04844453868338098,positive,0.16595180567514048,0.16595180567514048
Cord,sample-29,PC1,24.054353599919462,high,20,671002,1.37869688739274,3.439781745945445,high,0.04804158565489848,positive,0.16525256938199434,0.16525256938199434
Cord,sample-33,PC2,-21.774582368675816,low,1,1101005,1.14254404862303,5.416350969215538,high,-0.05588052575095675,negative,-0.3026685398114684,0.3026685398114684
Cord,sample-33,PC2,-21.774582368675816,low,2,402011,0.850787908458251,-3.0711006400908003,low,0.07969908714629657,positive,-0.24476391754964388,0.24476391754964388
Cord,sample-33,PC2,-21.774582368675816,low,3,402007,0.933097515434416,-3.577390761967917,low,0.06831244526239878,positive,-0.24438031060914442,0.24438031060914442
Cord,sample-33,PC2,-21.774582368675816,low,4,203004,0.956820221342546,-2.822893824470665,low,0.07730758006354803,positive,-0.21823109034616126,0.21823109034616126
Cord,sample-33,PC2,-21.774582368675816,low,5,1116016,0.878376678610353,-3.122464874484183,low,0.06961734924359406,positive,-0.21737772766782046,0.21737772766782046
Cord,sample-33,PC2,-21.774582368675816,low,6,621001,0.926756438802806,-2.731349573096571,low,0.07693925666458998,positive,-0.21014800584519533,0.21014800584519533
Cord,sample-33,PC2,-21.774582368675816,low,7,107013,0.919926138983665,-2.471570755402511,low,0.08496022452547124,positive,-0.2099852063095859,0.2099852063095859
Cord,sample-33,PC2,-21.774582368675816,low,8,306017,0.935290116707935,-2.938573992725014,low,0.06695487152056408,positive,-0.19675184413657432,0.19675184413657432
