Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Placenta,sample-12,PC2,26.244922045783376,high,16,616072,0.806129102461189,-3.1338821565525588,low,-0.058622304907624476,negative,0.18371539532598785,0.18371539532598785
Placenta,sample-12,PC2,26.244922045783376,high,17,616082,0.737798214745589,-2.990391764330855,low,-0.05844802185925071,negative,0.1747824832093331,0.1747824832093331
Placenta,sample-12,PC2,26.244922045783376,high,18,607027,0.897931147032375,-3.0861402356057956,low,-0.0565241796937913,negative,0.17444154523762143,0.17444154523762143
Placenta,sample-12,PC2,26.244922045783376,high,19,616096,0.860907657977771,-2.928043047145194,low,-0.05948577805774243,negative,0.17417691884599487,0.17417691884599487
Placenta,sample-12,PC2,26.244922045783376,high,20,653006,0.875832727251046,-4.277683712502309,low,-0.03958749999292167,negative,0.1693428039384063,0.1693428039384063
Placenta,sample-22,PC1,-53.07399530406102,low,1,703008,0.948806881027898,-4.6712870350457445,low,0.0591804240270177,positive,-0.27644874748591747,0.27644874748591747
Placenta,sample-22,PC1,-53.07399530406102,low,2,703015,0.906259071887671,-4.738699628995215,low,0.05617102866913408,positive,-0.26617763271470524,0.26617763271470524
Placenta,sample-22,PC1,-53.07399530406102,low,3,402008,0.877240633939783,-4.919971157121935,low,0.052874931155992476,positive,-0.26014313622229096,0.26014313622229096
Placenta,sample-22,PC1,-53.07399530406102,low,4,703039,0.906707146502945,-4.530973953596125,low,0.05680082236471125,positive,-0.25736304667734694,0.25736304667734694
Placenta,sample-22,PC1,-53.07399530406102,low,5,119007,0.881708776314881,-4.369134512770511,low,0.05832587577201448,positive,-0.2548335968230738,0.2548335968230738
Placenta,sample-22,PC1,-53.07399530406102,low,6,115011,0.933447052830677,-4.440821523243534,low,0.056502446177085115,positive,-0.25091727909910894,0.25091727909910894
Placenta,sample-22,PC1,-53.07399530406102,low,7,113019,0.862625808468887,-4.970018768809631,low,0.049256850337857434,positive,-0.24480747067159844,0.24480747067159844
Placenta,sample-22,PC1,-53.07399530406102,low,8,207013,0.849165183159164,-4.482390473437351,low,0.05426916526450409,positive,-0.24325558938301037,0.24325558938301037
Placenta,sample-22,PC1,-53.07399530406102,low,9,704041,0.895541053066262,-4.377462326698422,low,0.05487122698915042,positive,-0.24019672896472363,0.24019672896472363
Placenta,sample-22,PC1,-53.07399530406102,low,10,111014,0.935407702414388,-4.192491042531274,low,0.056930848021905796,positive,-0.23868207037554934,0.23868207037554934
Placenta,sample-22,PC1,-53.07399530406102,low,11,704030,0.858119321006119,-4.49064897022783,low,0.052944532616034046,positive,-0.23775531087138704,0.23775531087138704
Placenta,sample-22,PC1,-53.07399530406102,low,12,113012,0.915381103875152,-4.684763259671709,low,0.05067157279232664,positive,-0.23738432252727246,0.23738432252727246
Placenta,sample-22,PC1,-53.07399530406102,low,13,119008,0.865541221634599,-3.9777991557713976,low,0.05963420891090244,positive,-0.23721290586088287,0.23721290586088287
Placenta,sample-22,PC1,-53.07399530406102,low,14,676007,0.889435323953548,-3.909631380337833,low,0.05810877285000281,positive,-0.22718388180729407,0.22718388180729407
Placenta,sample-22,PC1,-53.07399530406102,low,15,402012,0.928377808357577,-4.779009808380858,low,0.047357908890901884,positive,-0.22632391109402714,0.22632391109402714
Placenta,sample-22,PC1,-53.07399530406102,low,16,109007,0.910269364911239,-4.407283164078026,low,0.050812645641095965,positive,-0.22394571765626495,0.22394571765626495
Placenta,sample-22,PC1,-53.07399530406102,low,17,703043,0.846811116932668,-4.146954381277153,low,0.05400031543920388,positive,-0.22393684470095482,0.22393684470095482
Placenta,sample-22,PC1,-53.07399530406102,low,18,674005,0.877631352681818,-3.7621243871502617,low,0.05947147651090463,positive,-0.22373909212150828,0.22373909212150828
Placenta,sample-22,PC1,-53.07399530406102,low,19,112034,0.941186478150532,-4.32704503231872,low,0.05163337082697839,positive,-0.2234199207387472,0.2234199207387472
Placenta,sample-22,PC1,-53.07399530406102,low,20,703011,0.846278339728456,-4.808932941487072,low,0.04643240398850355,positive,-0.2232903170927504,0.2232903170927504
Placenta,sample-22,PC2,-30.217184162106967,low,1,210008,0.905953383187296,-4.385421820435539,low,0.06634934185267849,positive,-0.2909698515322732,0.2909698515322732
Placenta,sample-22,PC2,-30.217184162106967,low,2,703011,0.846278339728456,-4.808932941487072,low,0.05728469663672892,positive,-0.2754782646994594,0.2754782646994594
Placenta,sample-22,PC2,-30.217184162106967,low,3,402012,0.928377808357577,-4.779009808380858,low,0.056106276573546644,positive,-0.26813244605670855,0.26813244605670855
Placenta,sample-22,PC2,-30.217184162106967,low,4,402008,0.877240633939783,-4.919971157121935,low,0.0537882389995817,positive,-0.2646365844703232,0.2646365844703232
Placenta,sample-22,PC2,-30.217184162106967,low,5,113019,0.862625808468887,-4.970018768809631,low,0.05138777893359602,positive,-0.2553982257874124,0.2553982257874124
Placenta,sample-22,PC2,-30.217184162106967,low,6,304005,0.934241826272638,-4.087945482059129,low,0.062167292070911186,positive,-0.2541365007531317,0.2541365007531317
Placenta,sample-22,PC2,-30.217184162106967,low,7,109010,0.903003229044135,-4.190688746524378,low,0.05948854325928323,positive,-0.2492979687838069,0.2492979687838069
Placenta,sample-22,PC2,-30.217184162106967,low,8,114001,0.81491913470757,-3.531925137521507,low,0.06885415307175645,positive,-0.24318771405689027,0.24318771405689027
