Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
sample-18,13.489877017445808,-0.0633389969011547,-5.1228990654155835,14.58439816581574,12.659823270448033,-7.389424929242509,-5.3342447285514405,-3.332337717219136,-2.5759335899904636,-2.003807826324853,Cord
sample-19,9.030755668549636,4.321447366033019,-3.2739416386421727,3.771988851135296,3.744696061643636,6.396871618152147,-0.10663011228346511,2.7396422011928285,6.055592489820802,-4.1143984809540175,Cord
sample-20,37.93496125471985,-22.906465239603232,0.6810362827533196,-11.718775215299882,5.127802539224699,-2.957009738743185,-0.7406865101459204,0.052277106341994506,-0.3258878027998431,5.470747451025025,Cord
sample-21,9.632594497831894,5.831476749295732,-0.21767085664945152,4.655948513746482,6.157879790465768,4.711691438623109,-2.7417243855291833,0.8373649428095372,4.533010540122755,-6.226523011554795,Cord
sample-22,28.384062896614235,-15.173678257702894,-8.816319666309461,2.590961197700454,-17.670606704162964,14.968262503429635,4.905028933816867,9.408637734369188,-4.528243615497107,5.362043545545013,Cord
sample-23,16.1757704732725,-25.541921295202723,-2.7287491895434286,-8.799766488898953,-5.249838649183332,-4.268879133181583,4.419446523007582,-7.575754487037199,2.2463244754366647,-5.2172980448718445,Cord
sample-24,-7.460506466234924,3.9048111891120327,2.1043182560167915,-2.4456396446443978,-1.6526556082850585,1.3282155804803397,-0.7749698646008243,-4.526334033831307,0.06275308843989527,2.668392234362556,Cord
sample-25,5.900817561982378,-24.051120999307695,-3.0225046751026086,-3.282320218750054,-9.14373554196964,-1.7418107237029328,3.1389081914792047,-7.785388298209052,9.742133243637078,-5.550984990179154,Cord
sample-26,-4.2328317081464935,3.9835121203338066,1.187073144879469,-3.3562790315055775,-0.9849750568729342,1.8526178623800782,-1.1031283876011189,-0.8796676785814979,0.9401046377375291,0.13487706046832953,Cord
sample-27,0.8912278290284505,2.2434820670206093,-6.8166779160841156,2.452945691627663,4.762272299914069,-0.16878422342847582,0.5937518716968492,-6.816987554811196,8.649813035042804,2.9702595605318955,Cord
sample-28,4.18447034040489,4.423222554852733,-5.498391256897886,2.914428660644383,6.35143362121489,1.402699285650428,-2.6548710386324554,1.2751242737732806,6.007653243349102,1.3955570491859015,Cord
sample-29,19.27725317333646,-7.902962148045499,1.0543093483261585,-29.02395739229637,17.5539860415159,-1.0396346079604097,2.542119245404163,-1.1728964180923334,-9.71015914935732,-2.1920616379745272,Cord
sample-30,-2.20416588973955,5.569836646733881,4.32364360478044,-1.207632728616188,3.070426199538268,1.2787849236460258,-2.2028008822386225,1.157961944507334,2.2079945024566907,-1.788620159682353,Cord
sample-31,3.2881163329232033,3.961283005285811,1.5396415314657046,-4.435193565071009,2.276041629486288,-2.5191676702004053,-1.0160841390805733,-4.035553873385753,0.2116707585087383,1.4113516171781395,Cord
sample-32,-9.758711669938133,5.176482696609684,5.23070206659238,-1.852547360402091,-3.0123096821351325,-0.9430596690992495,5.634240175171804,0.060817146309630137,1.751917025470356,4.572577015481415,Cord
sample-33,6.0865771011742416,-20.500520726017857,-4.4512811023440735,9.867206243502492,-13.848422282568782,-3.1352490441144907,-3.006448750089119,-10.260921591324554,0.9126550255892005,-8.655544749274599,Cord
sample-34,-8.904926717835282,3.1166549538757735,7.095780560569767,-0.9034686375825752,-3.4886001437408303,-1.8775407420905865,-3.4172554107933886,-1.740778934658516,-2.436185665023938,-1.8006685661510122,Cord
sample-35,9.552499739182027,0.28822463557622513,-7.5924346919860195,16.163473066702952,1.00219465993702,0.7860307156464921,-4.883127546215922,2.9774615821974106,-9.257771487189157,-9.65303439312908,Cord
sample-36,-9.580508805066557,1.7822454945783015,-3.2765326694432884,2.6143174220692944,-1.0524032323566694,-3.7175028195191393,3.3776331997732254,-1.3097874277507795,3.360229343813939,1.2683236628477648,Cord
sample-37,22.54502473211517,0.2533563045153474,-13.805997828557135,13.83268169117414,10.827846247317238,0.6191123001923822,-1.1717959040286845,-1.131075154138421,-5.696527783318237,0.08362293774698931,Cord
sample-38,-6.410657667422478,9.72388841700635,4.632012601052071,1.0675398605703141,-5.883853455349845,1.0687944042222401,-0.9841135971417551,-2.8335029133172887,-4.02925781362117,-2.171864382228777,Cord
